Site,Name,Your Price,Savings
53054,ALDERSYDE,1.7479,0
53057,ATHABASCA,0,0.2856
53151,BASSANO,1.7733,0.4657
53141,BONNYVILLE,1.7684,0.3006
53058,BROOKS-AGCOM,1.7877,0.4613
53145,CALGARY-COUNTRY HILLS,1.7422,0.4568
53064,CALGARY-MONUMENT,1.7422,0.4568
53065,CALGARY-OGDEN RD,1.7422,0.4568
53142,CALGARY-REMINGTON E,1.7422,0.4568
53046,CALGARY-REMINGTON W,1.7422,0.4568
53488,PETRO CA,1.7372,0.4618
53066,CAMROSE,1.7499,0.2991
53067,CARDSTON,1.7906,0.4584
53068,CARSTAIRS,1.7985,0.4605
53143,CLAIRMONT,1.7911,0.2879
53071,COCHRANE-JUMPING POUND,1.7806,0.4384
53072,COLD LAKE,1.7908,0.2882
53073,CORONATION,1.7628,0.3162
53152,CROSSFIELD,1.7642,0.2748
53035,BVD CALGARY,1.7366,0.4624
53146,DRAYTON VALLEY-50TH ST,1.7588,0.3102
53074,DRAYTON VALLEY-INDUSTRIAL,1.7756,0.2934
53075,DRUMHELLER,1.8019,0.4671
53456,EDMONTON,1.7078,0.2912
53081,EDMONTON YELLOWHEAD,1.7078,0.2912
53048,EDMONTON-118 AVE,1.7078,0.2912
53076,EDMONTON-50TH ST,1.7078,0.2912
53077,EDMONTON-ACHESON PARK,1.7078,0.2912
53078,EDMONTONWEST,1.7078,0.2912
53436,PETRO CA,1.7078,0.2912
53442,PETRO CA,0,0
53082,EDSON 63 ST,1.7225,0.3365
53083,FALHER,1.7914,0.2976
53084,FORT MCKAY,1.8063,0.3027
53051,FORT MCMURRAY,1.8033,0.3257
53085,FORT MCMURRAY,1.8033,0.3257
53086,FORT SASKATCHEWAN,1.7894,0.2496
53087,FOX CREEK,1.768,0.301
53009,GLENVIS,1.7575,0.3115
53091,GRANDE PRAIRIE-101 AVE,1.7926,0.4764
53088,GRANDE PRAIRIE-97TH,1.7926,0.4764
53385,GRASSLAND,1.7819,0.2571
53092,HANNA,1.7793,0.4197
53093,HARDISTY,1.7581,0.3109
53094,HIGH LEVEL,1.7976,0.2614
53095,HIGH PRAIRIE,1.7837,0.2953
53096,HINTON,1.7715,0.2875
53144,LA CRETE,1.8463,0.2527
53097,LAC LA BICHE,1.7686,0.2904
53098,LETHBRIDGE,1.7745,0.4245
53101,LLOYDMINSTER,1.7714,0.3876
53102,MANNING,1.8077,0.2913
53103,MEDICINE HAT,1.7985,0.4405
53147,MEDICINE HAT-2900 BOX SPRINGS,1.7985,0.4405
53052,NISKU,1.7073,0.2917
53104,OLDS,1.8157,0.4633
53105,PEACE RIVER,1.7933,0.2957
53394,PEACE RIVER,1.7783,0.3107
53474,PENHOLD,1.7451,0.5139
53106,PINCHER CREEK,1.7905,0.4685
53107,PROVOST,1.7725,0.2965
53108,RED DEER-54TH AVE,1.7451,0.5139
53053,RED DEER-EDGAR,1.7451,0.5139
53111,RED EARTH CREEK,1.7756,0.3034
53112,REDCLIFF,1.7963,0.4427
53113,ROCKY MT. HOUSE,1.7625,0.3065
53114,SLAVE LAKE-12TH AVE,1.7752,0.3038
53115,SLAVE LAKE-15TH AVE,1.7752,0.3038
53483,PETRO CA,1.7829,0.4861
53116,STETTLER,1.7928,0.4562
53117,STRATHMORE,1.7596,0.4594
53118,SUNDRE,1.7992,0.4598
53121,TABER,1.7859,0.4731
53122,THREE HILLS,1.799,0.46
53123,TWO HILLS,1.7655,0.3135
53124,VALLEYVIEW,1.76,0.339
53125,VEGREVILLE,1.7521,0.3069
53126,VERMILION,1.7648,0.2942
53127,VIKING,1.7546,0.3144
53131,VULCAN,1.7861,0.4629
53148,WASKATENAU,1.756,0.313
53132,WESTLOCK,1.7642,0.3048
53133,WETASKIWIN,1.7844,0.4646
53135,WHITECOURT-42ND ST,1.7808,0.3782
53136,WHITECOURT-HWY 43,1.7808,0.3782
54061,100 MILE HOUSE,2.0418,0.6272
54064,CAMPBELL RIVER,2.3724,0.4766
54065,CHILLIWACK - EAST,2.296,0.263
54057,CHILLIWACK - WEST,2.296,0.263
54066,CLEARBROOK,2.2969,0.4821
54072,COQUITLAM,2.4296,0.4094
54073,COURTENAY,2.3874,0.4616
54074,CRANBROOK,1.7911,0.6079
54075,DAWSON CREEK,1.798,0.561
54077,DELTA,2.4296,0.3894
54078,DUNCAN,2.3638,0.4752
54082,FORT NELSON,2.0218,0.9272
54087,FORT ST. JOHN,2.0033,0.8957
54088,GOLDEN,2.0352,0.6338
54093,GRAND FORKS,2.0535,0.6255
54094,HOUSTON,2.0293,0.8697
54096,KAMLOOPS-TCH EAST,2.0081,0.6609
54097,KAMLOOPS-TCH WEST,2.0049,0.6641
54098,KELOWNA-ACLAND,2.0366,0.6524
54101,KELOWNA-WESTBANK,2.0366,0.6524
54102,KITWANGA,1.9934,0.9056
54055,BVD KAMLOOPS,1.9832,0.6858
54106,MACKENZIE,2.0228,0.8462
54108,NAKUSP,2.0474,0.6516
54111,NANAIMO,2.3638,0.4452
54112,PENTICTON,2.0407,0.6383
54113,PRINCE GEORGE - HARTWAY,1.9856,0.8634
54115,PRINCE GEORGE-GREAT ST,1.9856,0.8634
54116,QUESNEL-SMITH AVE,1.9831,0.9159
54117,REVELSTOKE,2.0201,0.6589
54118,SALMON ARM,2.0355,0.6535
54121,SMITHERS,2.0221,0.8769
54122,SPARWOOD,2.043,0.656
54123,TERRACE,2.0003,0.8687
54134,TERRACE THORNHILL,2.0003,0.8687
54124,VANCOUVER,2.4565,0.3425
54125,VERNON,2.0293,0.6697
54126,WILLIAMS LAKE- COLLIER,2.0511,0.6679
54127,WILLIAMS LAKE-GILL,2.0511,0.6679
55052,PETRO CA,1.7367,0.6223
55014,ARBORG,1.7798,0.5892
55015,BEAUSEJOUR,1.7731,0.5959
55016,BRANDON-18TH ST,1.7936,0.5454
55017,BRANDON-TCH,1.7936,0.5454
55041,CRYSTAL CITY,1.7943,0.5747
55018,DAUPHIN,1.8082,0.5608
55021,KILLARNEY,1.7943,0.5747
55022,MELITA,1.797,0.572
55023,MIAMI,1.7943,0.5847
55024,MORRIS,1.7808,0.5882
55026,NEEPAWA,1.7763,0.6027
55028,PINE FALLS,1.7798,0.5892
55031,PORTAGE LA PRAIRIE,1.7459,0.5531
55032,RUSSELL,1.8001,0.5789
55053,PETRO CA,1.7472,0.5518
55033,TEULON,1.7766,0.5924
55034,THE PAS,1.8071,0.5819
55035,THOMPSON,1.8149,0.5841
55043,VIRDEN,1.797,0.592
55036,WINKLER,1.7846,0.5944
55037,WINNIPEG-DEACONS,1.739,0.56
55038,WINNIPEG-MARION ST,1.7437,0.5553
55012,BVD WINNIPEG,1.735,0.564
61031,GRAND FALLS,2.1787,0.1513
61032,MONCTON,2.1611,0.1689
61062,BVD MEDUCTIC,2.142,0.188
63003,DEER LAKE,2.1436,0.4064
63005,GOOBIES,2.0653,0.4847
63008,ST JOHNS,2.0498,0.5002
62022,BRIDGEWATER,2.0851,0.3849
62015,DARTMOUTH,2.0828,0.3872
62016,GLENHOLME,2.0802,0.3898
62017,LITTLE BRAS DOR,2.0841,0.3859
58868,LOWER WOODS,2.1034,0.4166
58867,WILMOT,2.0804,0.4396
58869,WINDSOR,2.1081,0.4119
58866,WOLFVILLE,2.0764,0.4436
58865,YARMOUTH,2.1308,0.3892
60001,ENTERPRISE,1.9982,0.4008
60002,YELLOWKNIFE,1.9647,0.4343
58117,BARRIE,1.9182,0.7008
